A_m,E_m,R_m,SNR,V_m
-10.089219093322754,0.5077109932899475,2.8049259185791016,34.59764862060547,19.50782012939453
-10.176519393920898,0.6293879151344299,2.788454532623291,35.299163818359375,19.769689559936523
-10.208510398864746,0.6147869825363159,2.7732138633728027,32.92434310913086,19.996074676513672
-10.21051025390625,0.4198225140571594,2.755861759185791,33.03287124633789,20.12806510925293
-10.055018424987793,0.588620662689209,2.73987078666687,33.22281265258789,20.169891357421875
-9.980799674987793,0.5497161746025085,2.7218573093414307,30.490020751953125,20.00786590576172
-10.16634464263916,0.7966738939285278,2.706383466720581,32.488616943359375,19.93218231201172
-10.117264747619629,0.5460752844810486,2.6905252933502197,31.367786407470703,19.93708038330078
-10.146333694458008,0.7670207619667053,2.6749026775360107,31.251575469970703,20.076820373535156
-9.992341995239258,0.6727255582809448,2.6569135189056396,28.09147834777832,20.271526336669922
-10.486639976501465,0.4343670904636383,2.643261194229126,29.44045639038086,20.391502380371094
-10.04851245880127,0.4899715185165405,2.6226718425750732,27.968013763427734,20.3786678314209
-10.134796142578125,0.7492379546165466,2.604304552078247,26.33240509033203,20.12984848022461
-10.556862831115723,0.8199092745780945,2.5916976928710938,24.34267234802246,19.44781494140625
-10.734262466430664,0.7548507452011108,2.57468581199646,24.023286819458008,19.02491569519043
-10.093535423278809,0.9079195857048035,2.5582938194274902,22.615337371826172,18.69377326965332
-9.572928428649902,0.8739223480224609,2.5445544719696045,22.99252700805664,18.485942840576172
-10.509251594543457,0.9864028096199036,2.5295498371124268,21.35259437561035,18.246030807495117
-10.444591522216797,0.9370853900909424,2.5126547813415527,24.382369995117188,18.175918579101562
-10.25699520111084,1.5123761892318726,2.4990673065185547,22.601417541503906,18.11737823486328
-10.262090682983398,0.9605475664138794,2.490000009536743,23.707443237304688,18.090669631958008
-10.3864107131958,1.59600031375885,2.4683632850646973,23.923946380615234,18.073881149291992
-10.369306564331055,1.5327098369598389,2.4600000381469727,25.239452362060547,18.041275024414062
-10.497154235839844,1.6566294431686401,2.4407730102539062,26.36156463623047,18.0412654876709
-11.214420318603516,0.5474393963813782,2.4263360500335693,26.09613037109375,18.060989379882812
-10.61977481842041,1.565250039100647,2.4079079627990723,26.486122131347656,18.066856384277344
-10.705137252807617,1.9603222608566284,2.395482301712036,26.701051712036133,18.0156192779541
-10.661205291748047,1.5995744466781616,2.381822109222412,25.523462295532227,18.013582229614258
-10.868714332580566,1.7416170835494995,2.3658456802368164,26.32140350341797,18.044330596923828
-10.790613174438477,1.992035150527954,2.351766586303711,25.327152252197266,18.00754165649414
-10.784967422485352,2.4785711765289307,2.3366005420684814,29.50418472290039,17.945375442504883
-10.984588623046875,2.3698127269744873,2.322219133377075,24.904146194458008,17.958450317382812
-10.902344703674316,2.8153414726257324,2.3051962852478027,27.9171085357666,17.968820571899414
-10.777776718139648,3.0509774684906006,2.2925891876220703,27.830894470214844,17.942367553710938
-10.873598098754883,3.296449661254883,2.2786448001861572,29.267967224121094,17.87678337097168
-10.434087753295898,3.756282091140747,2.2621877193450928,27.31390953063965,17.99527359008789
-10.878105163574219,3.5927350521087646,2.2490227222442627,29.400882720947266,18.058259963989258
-11.025561332702637,3.3782601356506348,2.2331886291503906,29.49610137939453,17.992116928100586
-10.664539337158203,4.055354595184326,2.2199785709381104,27.767730712890625,18.37779998779297
-10.831908226013184,3.5635061264038086,2.2031095027923584,29.060054779052734,19.031103134155273
-10.885519027709961,3.917574405670166,2.1865339279174805,30.912179946899414,19.531354904174805
-10.762724876403809,3.695783853530884,2.1732003688812256,31.287494659423828,19.812559127807617
-10.926719665527344,3.687617063522339,2.155365228652954,33.86200714111328,20.033504486083984
-10.98703670501709,3.4020955562591553,2.138672351837158,32.66136932373047,20.162710189819336
-11.00864315032959,3.1694915294647217,2.1219162940979004,35.90140914916992,20.19561195373535
-11.03303050994873,2.900420904159546,2.105544328689575,34.93191146850586,20.193756103515625
-11.0728120803833,2.703578233718872,2.089897871017456,36.99293518066406,20.277008056640625
-11.076726913452148,2.4935462474823,2.071775436401367,37.85706329345703,20.29414176940918
-11.049700736999512,2.4283320903778076,2.056349992752075,37.72433853149414,20.291215896606445
-11.100038528442383,2.314823627471924,2.039000988006592,40.251258850097656,20.302818298339844
-11.068380355834961,2.1601154804229736,2.0233237743377686,38.748680114746094,20.295455932617188
-11.111896514892578,2.1048247814178467,2.006753921508789,40.67058181762695,20.23080062866211
-11.115396499633789,2.035388231277466,1.9892555475234985,40.00938415527344,20.214570999145508
-11.20333480834961,1.9267851114273071,1.9728975296020508,41.7719841003418,20.22402000427246
-11.16790771484375,1.8549717664718628,1.956410527229309,40.86521530151367,20.209918975830078
-11.246252059936523,1.759685754776001,1.939609169960022,39.08393478393555,20.262800216674805
-11.19636344909668,1.716927170753479,1.9240361452102661,41.56509780883789,20.28599739074707
-11.25426197052002,1.5454283952713013,1.9068447351455688,39.99016571044922,20.08611297607422
-11.338958740234375,1.5452613830566406,1.890476942062378,39.970863342285156,19.905344009399414
-11.445466995239258,1.5325772762298584,1.8743501901626587,37.66434860229492,19.956382751464844
-11.491398811340332,1.5139727592468262,1.8578622341156006,41.322052001953125,20.06616973876953
-11.567220687866211,1.3309861421585083,1.8416651487350464,37.310638427734375,20.143857955932617
-11.545937538146973,1.4484951496124268,1.8250477313995361,38.985008239746094,20.131877899169922
-11.428223609924316,1.4804953336715698,1.8079699277877808,38.306060791015625,20.08940887451172
