A_m,E_m,R_m,SNR,V_m
11.62044620513916,-2.0369465351104736,8.155986785888672,36.51007843017578,-7.361003875732422
11.626283645629883,-2.0369834899902344,8.162339210510254,37.642189025878906,-7.362401008605957
11.533642768859863,-2.036398410797119,8.168699264526367,34.26948928833008,-7.370980262756348
11.671290397644043,-2.037269353866577,8.185486793518066,36.105865478515625,-7.377209186553955
11.726679801940918,-2.0376226902008057,8.191462516784668,37.37249755859375,-7.375943660736084
11.621077537536621,-2.0369503498077393,8.198655128479004,36.735862731933594,-7.376863956451416
11.601099014282227,-2.0368239879608154,8.216401100158691,35.28219223022461,-7.405395030975342
11.546712875366211,-2.036480665206909,8.224177360534668,38.2247314453125,-7.381679534912109
11.567584991455078,-2.0366122722625732,8.229994773864746,37.03428649902344,-7.38261604309082
11.498825073242188,-2.036179780960083,8.245408058166504,34.180091857910156,-7.41688346862793
11.50406265258789,-2.036212682723999,8.255851745605469,38.712703704833984,-7.396700859069824
11.665885925292969,-2.0372350215911865,8.261689186096191,36.74437713623047,-7.3993964195251465
11.65078353881836,-2.0371389389038086,8.273656845092773,35.992530822753906,-7.421961784362793
11.706184387207031,-3.4680016040802,8.28532600402832,38.8311767578125,-7.4014177322387695
11.596589088439941,-2.0367953777313232,8.290462493896484,36.49504470825195,-7.400760650634766
11.490778923034668,-2.0361292362213135,8.294930458068848,38.64202117919922,-7.3994951248168945
11.679691314697266,-3.4390487670898438,8.31324291229248,39.219215393066406,-7.4151740074157715
11.679691314697266,-3.4390487670898438,8.31324291229248,39.219215393066406,-7.4151740074157715
11.6376371383667,-3.5789875984191895,8.324244499206543,38.63372039794922,-7.403669357299805
11.513081550598145,-2.036269187927246,8.344231605529785,37.76689910888672,-7.411804676055908
11.51669692993164,-3.2395987510681152,8.34957504272461,36.93566131591797,-7.409241199493408
11.470979690551758,-2.0360052585601807,8.35583782196045,38.34132766723633,-7.40897798538208
11.54761791229248,-2.0364863872528076,8.37529468536377,38.73595428466797,-7.411640644073486
11.44810962677002,-2.035862445831299,8.381372451782227,36.54479217529297,-7.412363529205322
11.311040878295898,-2.0350115299224854,8.387203216552734,38.833648681640625,-7.418855667114258
11.483016014099121,-2.0360805988311768,8.401350975036621,37.49034118652344,-7.401648044586182
11.599424362182617,-2.036813259124756,8.41043472290039,37.81830596923828,-7.419282913208008
11.456908226013184,-2.035917282104492,8.416315078735352,39.33842468261719,-7.4163408279418945
11.392282485961914,-3.5021145343780518,8.416960716247559,37.006561279296875,-7.419595241546631
11.531888008117676,-3.517904758453369,8.430168151855469,39.359580993652344,-7.417787075042725
11.515510559082031,-3.4123504161834717,8.431862831115723,39.817291259765625,-7.43721342086792
11.529610633850098,-3.3218345642089844,8.444802284240723,36.62274169921875,-7.416653156280518
11.547303199768066,-3.4382870197296143,8.459784507751465,37.68836212158203,-7.442522048950195
11.49841594696045,-3.4065065383911133,8.465112686157227,38.86307144165039,-7.432628154754639
11.437938690185547,-3.6693997383117676,8.480236053466797,33.80503845214844,-7.422060489654541
11.435599327087402,-3.641775369644165,8.49775505065918,37.261070251464844,-7.432365417480469
11.346735000610352,-3.443849802017212,8.50223159790039,39.00425720214844,-7.436506748199463
11.484333992004395,-3.431502342224121,8.508439064025879,37.04849624633789,-7.440648555755615
11.322477340698242,-3.596620798110962,8.52430534362793,37.3513069152832,-7.438626766204834
11.382949829101562,-3.417219400405884,8.52563762664795,38.65966033935547,-7.438446044921875
11.489811897277832,-3.427159309387207,8.547276496887207,37.335018157958984,-7.452547550201416
11.454514503479004,-3.4111993312835693,8.548545837402344,38.13718032836914,-7.441437244415283
11.505755424499512,-2.0362231731414795,8.567778587341309,38.650062561035156,-7.461175918579102
11.383676528930664,-2.035461187362671,8.573030471801758,37.91569900512695,-7.45626163482666
11.519384384155273,-2.036308765411377,8.57660961151123,38.721702575683594,-7.452744960784912
11.499899864196777,-2.036186456680298,8.59885311126709,39.74519348144531,-7.457264423370361
11.499899864196777,-2.036186456680298,8.59885311126709,39.74519348144531,-7.457264423370361
11.41271686553955,-3.468888282775879,8.618997573852539,36.513668060302734,-7.469590663909912
